order_id,user_id,order_date,total_amount
1,51,2025-11-14T14:52:06,1260.9
2,83,2025-11-14T14:44:12,2156.1
3,59,2025-11-14T14:55:48,3460.86
4,19,2025-11-14T14:44:11,2850.71
5,34,2025-11-14T14:58:44,2213.71
6,18,2025-11-14T14:56:22,1037.67
7,32,2025-11-14T14:41:18,1282.31
8,96,2025-11-14T14:45:42,1352.1
9,72,2025-11-14T14:54:46,1651.18
10,69,2025-11-14T14:46:03,336.83
11,34,2025-11-14T14:43:20,1608.92
12,96,2025-11-14T14:56:48,462.87
13,75,2025-11-14T14:49:49,2392.1
14,55,2025-11-14T14:52:20,2486.99
15,75,2025-11-14T14:54:21,1795.06
16,52,2025-11-14T14:43:31,1401.57
17,47,2025-11-14T14:51:59,3239.45
18,29,2025-11-14T14:53:45,2264.0
19,18,2025-11-14T14:51:35,1339.23
20,66,2025-11-14T14:57:26,1758.18
21,64,2025-11-14T14:42:00,713.44
22,12,2025-11-14T14:43:07,849.22
23,97,2025-11-14T14:48:47,3296.2
24,7,2025-11-14T14:50:35,2952.76
25,15,2025-11-14T14:48:32,1556.38
26,20,2025-11-14T14:43:52,2465.31
27,81,2025-11-14T14:55:35,1284.26
28,21,2025-11-14T14:44:08,2196.25
29,88,2025-11-14T14:44:12,1970.88
30,55,2025-11-14T14:55:55,1913.57
31,77,2025-11-14T14:46:27,473.2
32,9,2025-11-14T14:51:00,2714.1
33,50,2025-11-14T14:41:46,1025.51
34,49,2025-11-14T14:42:21,2060.28
35,77,2025-11-14T14:51:51,2736.48
36,60,2025-11-14T14:42:41,297.5
37,68,2025-11-14T14:50:47,1262.73
38,33,2025-11-14T14:53:01,463.78
39,71,2025-11-14T14:53:34,1242.22
40,2,2025-11-14T14:55:29,2775.52
41,88,2025-11-14T14:45:45,2050.57
42,93,2025-11-14T14:49:07,256.25
43,15,2025-11-14T14:54:50,1170.5
44,88,2025-11-14T14:46:55,1092.09
45,69,2025-11-14T14:46:35,216.84
46,97,2025-11-14T14:46:45,2157.2
47,35,2025-11-14T14:43:28,3207.6
48,99,2025-11-14T14:53:50,2749.7
49,83,2025-11-14T14:49:00,2118.42
50,44,2025-11-14T14:57:46,1646.0
51,15,2025-11-14T14:45:40,2722.75
52,38,2025-11-14T14:48:42,2457.5
53,56,2025-11-14T14:56:31,1940.2
54,21,2025-11-14T14:49:27,1126.96
55,59,2025-11-14T14:56:28,1651.52
56,1,2025-11-14T14:49:29,1663.12
57,93,2025-11-14T14:41:06,1685.38
58,93,2025-11-14T14:56:39,1814.59
59,34,2025-11-14T14:50:36,1856.68
60,65,2025-11-14T14:46:10,1826.64
61,98,2025-11-14T14:43:18,811.81
62,23,2025-11-14T14:55:51,2321.67
63,65,2025-11-14T14:52:34,1862.33
64,14,2025-11-14T14:50:59,2180.08
65,81,2025-11-14T14:55:15,1944.44
66,39,2025-11-14T14:49:19,1070.56
67,82,2025-11-14T14:56:22,1472.69
68,65,2025-11-14T14:51:05,595.31
69,78,2025-11-14T14:47:34,1739.88
70,26,2025-11-14T14:53:54,513.64
71,20,2025-11-14T14:57:16,1566.24
72,48,2025-11-14T14:44:25,1463.89
73,98,2025-11-14T14:48:52,1841.35
74,21,2025-11-14T14:53:48,1671.82
75,70,2025-11-14T14:53:02,1756.92
76,100,2025-11-14T14:50:52,3836.88
77,68,2025-11-14T14:50:51,866.62
78,1,2025-11-14T14:41:31,3176.49
79,77,2025-11-14T14:54:17,2219.47
80,42,2025-11-14T14:50:09,4228.55
81,63,2025-11-14T14:41:03,1060.31
82,3,2025-11-14T14:42:27,658.52
83,15,2025-11-14T14:57:44,758.34
84,47,2025-11-14T14:50:33,1899.87
85,40,2025-11-14T14:48:38,972.88
86,31,2025-11-14T14:52:48,1566.82
87,8,2025-11-14T14:48:15,584.27
88,31,2025-11-14T14:47:16,4272.53
89,73,2025-11-14T14:49:20,581.0
90,11,2025-11-14T14:45:27,1293.98
91,11,2025-11-14T14:44:05,1065.81
92,94,2025-11-14T14:42:07,1025.92
93,63,2025-11-14T14:51:19,1063.6
94,9,2025-11-14T14:55:49,883.32
95,98,2025-11-14T14:41:55,697.96
96,69,2025-11-14T14:53:14,2870.22
97,99,2025-11-14T14:45:16,1617.84
98,17,2025-11-14T14:43:51,954.29
99,17,2025-11-14T14:50:51,1468.94
100,85,2025-11-14T14:51:56,1900.08
101,61,2025-11-14T14:54:57,2040.71
