payment_id,order_id,payment_method,status,paid_at
1,1,bank_transfer,paid,2025-11-17T07:52:06
2,2,credit_card,paid,2025-11-15T00:44:12
3,3,credit_card,paid,2025-11-16T22:55:48
4,4,gift_card,paid,2025-11-16T07:44:11
5,5,gift_card,paid,2025-11-16T20:58:44
6,6,paypal,failed,2025-11-14T17:56:22
7,7,bank_transfer,pending,2025-11-17T01:41:18
8,8,credit_card,paid,2025-11-15T02:45:42
9,9,gift_card,paid,2025-11-15T22:54:46
10,10,bank_transfer,paid,2025-11-17T10:46:03
11,11,paypal,paid,2025-11-16T10:43:20
12,12,credit_card,paid,2025-11-15T00:56:48
13,13,bank_transfer,paid,2025-11-17T10:49:49
14,14,paypal,paid,2025-11-16T11:52:20
15,15,bank_transfer,paid,2025-11-15T21:54:21
16,16,paypal,paid,2025-11-15T16:43:31
17,17,gift_card,paid,2025-11-15T00:51:59
18,18,gift_card,paid,2025-11-17T02:53:45
19,19,bank_transfer,pending,2025-11-16T08:51:35
20,20,gift_card,paid,2025-11-15T10:57:26
21,21,bank_transfer,paid,2025-11-16T23:42:00
22,22,credit_card,paid,2025-11-14T22:43:07
23,23,credit_card,paid,2025-11-16T06:48:47
24,24,bank_transfer,paid,2025-11-14T22:50:35
25,25,credit_card,paid,2025-11-15T00:48:32
26,26,credit_card,paid,2025-11-17T07:43:52
27,27,paypal,pending,2025-11-17T00:55:35
28,28,paypal,paid,2025-11-16T08:44:08
29,29,bank_transfer,paid,2025-11-14T22:44:12
30,30,paypal,paid,2025-11-15T01:55:55
31,31,gift_card,paid,2025-11-14T20:46:27
32,32,paypal,paid,2025-11-16T23:51:00
33,33,bank_transfer,paid,2025-11-16T13:41:46
34,34,bank_transfer,paid,2025-11-16T16:42:21
35,35,bank_transfer,paid,2025-11-14T21:51:51
36,36,gift_card,paid,2025-11-14T23:42:41
37,37,paypal,paid,2025-11-16T03:50:47
38,38,paypal,paid,2025-11-16T09:53:01
39,39,gift_card,paid,2025-11-16T11:53:34
40,40,credit_card,paid,2025-11-15T07:55:29
41,41,bank_transfer,paid,2025-11-16T06:45:45
42,42,credit_card,paid,2025-11-15T07:49:07
43,43,credit_card,paid,2025-11-16T21:54:50
44,44,paypal,paid,2025-11-16T13:46:55
45,45,gift_card,pending,2025-11-16T10:46:35
46,46,paypal,paid,2025-11-15T15:46:45
47,47,credit_card,paid,2025-11-15T10:43:28
48,48,credit_card,paid,2025-11-17T07:53:50
49,49,paypal,pending,2025-11-16T10:49:00
50,50,paypal,paid,2025-11-16T15:57:46
51,51,credit_card,paid,2025-11-15T12:45:40
52,52,paypal,paid,2025-11-16T19:48:42
53,53,gift_card,paid,2025-11-16T23:56:31
54,54,bank_transfer,paid,2025-11-15T20:49:27
55,55,paypal,pending,2025-11-17T03:56:28
56,56,gift_card,paid,2025-11-16T14:49:29
57,57,gift_card,paid,2025-11-17T02:41:06
58,58,paypal,paid,2025-11-17T07:56:39
59,59,paypal,pending,2025-11-15T16:50:36
60,60,gift_card,paid,2025-11-15T23:46:10
61,61,credit_card,paid,2025-11-16T14:43:18
62,62,bank_transfer,pending,2025-11-17T09:55:51
63,63,bank_transfer,paid,2025-11-15T01:52:34
64,64,paypal,pending,2025-11-17T00:50:59
65,65,paypal,paid,2025-11-16T22:55:15
66,66,credit_card,pending,2025-11-17T00:49:19
67,67,bank_transfer,paid,2025-11-16T20:56:22
68,68,credit_card,paid,2025-11-15T21:51:05
69,69,bank_transfer,paid,2025-11-16T14:47:34
70,70,bank_transfer,pending,2025-11-15T03:53:54
71,71,bank_transfer,paid,2025-11-15T09:57:16
72,72,paypal,paid,2025-11-17T03:44:25
73,73,credit_card,paid,2025-11-17T03:48:52
74,74,paypal,paid,2025-11-15T01:53:48
75,75,gift_card,paid,2025-11-15T10:53:02
76,76,paypal,paid,2025-11-15T05:50:52
77,77,paypal,paid,2025-11-16T05:50:51
78,78,gift_card,paid,2025-11-16T20:41:31
79,79,gift_card,paid,2025-11-14T23:54:17
80,80,paypal,paid,2025-11-17T11:50:09
81,81,credit_card,paid,2025-11-15T09:41:03
82,82,gift_card,paid,2025-11-16T12:42:27
83,83,credit_card,paid,2025-11-15T14:57:44
84,84,credit_card,failed,2025-11-17T10:50:33
85,85,credit_card,paid,2025-11-17T10:48:38
86,86,credit_card,pending,2025-11-16T16:52:48
87,87,bank_transfer,failed,2025-11-16T16:48:15
88,88,credit_card,paid,2025-11-14T17:47:16
89,89,credit_card,paid,2025-11-16T11:49:20
90,90,bank_transfer,paid,2025-11-16T09:45:27
91,91,paypal,paid,2025-11-17T12:44:05
92,92,gift_card,failed,2025-11-17T02:42:07
93,93,credit_card,pending,2025-11-15T14:51:19
94,94,paypal,paid,2025-11-17T01:55:49
95,95,credit_card,paid,2025-11-14T20:41:55
96,96,gift_card,pending,2025-11-16T07:53:14
97,97,credit_card,paid,2025-11-17T12:45:16
98,98,credit_card,paid,2025-11-15T15:43:51
99,99,bank_transfer,paid,2025-11-16T09:50:51
100,100,gift_card,pending,2025-11-16T22:51:56
101,101,paypal,paid,2025-11-16T16:54:57
102,102,bank_transfer,paid,2025-11-17T06:46:46
103,103,credit_card,paid,2025-11-17T09:47:38
104,104,paypal,paid,2025-11-16T21:45:17
105,105,credit_card,paid,2025-11-17T12:53:16
106,106,bank_transfer,paid,2025-11-15T01:57:54
107,107,gift_card,paid,2025-11-16T06:50:05
108,108,bank_transfer,paid,2025-11-15T12:46:23
109,109,bank_transfer,paid,2025-11-17T00:49:33
110,110,credit_card,paid,2025-11-16T22:57:13
111,111,gift_card,paid,2025-11-15T00:50:51
112,112,paypal,paid,2025-11-16T13:52:20
113,113,gift_card,paid,2025-11-14T18:44:42
114,114,paypal,paid,2025-11-14T19:56:46
115,115,credit_card,paid,2025-11-16T13:43:21
116,116,bank_transfer,paid,2025-11-15T10:45:35
117,117,credit_card,paid,2025-11-16T14:48:29
118,118,gift_card,paid,2025-11-15T08:54:20
119,119,paypal,paid,2025-11-16T07:53:16
120,120,paypal,paid,2025-11-15T05:43:51
121,121,credit_card,paid,2025-11-17T06:54:15
122,122,gift_card,paid,2025-11-16T00:41:15
123,123,bank_transfer,failed,2025-11-15T18:49:48
124,124,paypal,paid,2025-11-17T05:45:00
125,125,gift_card,paid,2025-11-15T00:56:18
126,126,bank_transfer,pending,2025-11-15T02:53:21
127,127,bank_transfer,paid,2025-11-16T11:49:43
128,128,paypal,pending,2025-11-16T05:53:47
129,129,credit_card,paid,2025-11-16T13:53:27
130,130,paypal,paid,2025-11-15T16:44:28
131,131,bank_transfer,paid,2025-11-17T06:48:45
132,132,paypal,pending,2025-11-17T02:56:52
133,133,gift_card,paid,2025-11-15T02:41:38
134,134,gift_card,paid,2025-11-17T04:51:58
135,135,bank_transfer,paid,2025-11-15T00:48:20
136,136,bank_transfer,paid,2025-11-15T00:42:56
137,137,paypal,pending,2025-11-15T07:56:37
138,138,credit_card,paid,2025-11-15T07:51:05
139,139,bank_transfer,paid,2025-11-15T06:54:43
